task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,origin_location,destination_location,sc_total_distance,container_distance
CO_TFTU000214,SC020,2024-08-21 07:46:00,2024-08-21 07:45:27,2024-08-21 07:46:00,2024-08-21 07:46:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000225,SC020,2024-08-21 07:48:00,2024-08-21 07:47:27,2024-08-21 07:48:00,2024-08-21 07:48:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000226,SC020,2024-08-21 07:48:00,2024-08-21 07:47:27,2024-08-21 07:48:00,2024-08-21 07:48:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000242,SC020,2024-08-21 07:57:00,2024-08-21 07:56:27,2024-08-21 07:57:00,2024-08-21 07:57:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000255,SC020,2024-08-21 08:02:00,2024-08-21 08:01:27,2024-08-21 08:02:00,2024-08-21 08:02:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000276,SC020,2024-08-21 08:06:00,2024-08-21 08:05:27,2024-08-21 08:06:00,2024-08-21 08:06:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000038,SC020,2024-08-21 07:07:00,2024-08-21 07:05:51,2024-08-21 07:07:00,2024-08-21 07:08:27,382227,68.8077407740774,156.36435643564357,0,QC007,WS004.01,868604,486377
CO_TFTU000123,SC020,2024-08-21 07:21:00,2024-08-21 07:20:45,2024-08-21 07:21:00,2024-08-21 07:21:47,82176,14.793159315931593,61.81422142214221,0,QC004,WS004.01,343378,261202
CO_TFTU000149,SC020,2024-08-21 07:27:00,2024-08-21 07:26:27,2024-08-21 07:27:00,2024-08-21 07:27:51,182193,32.798019801980196,84.34491449144915,0,QC005,WS004.01,468536,286343
CO_TFTU000192,SC020,2024-08-21 07:40:00,2024-08-21 07:39:45,2024-08-21 07:40:00,2024-08-21 07:40:47,82176,14.793159315931593,61.81422142214221,0,QC004,WS004.01,343378,261202
