task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,penalty_time,origin_location,destination_location,sc_total_distance,container_distance,sc_travel_time,container_travel_time
CO_TFTU000022,SC003,2024-08-21 07:05:00,2024-08-21 07:04:50,2024-08-21 07:05:00,2024-08-21 07:08:01,52693,9.485688568856885,191.42718271827184,1490.514311,0,QC001,WS017.01,1063378,1010685,191.42718271827184,181.94149414941495
CO_TFTU000023,SC002,2024-08-21 07:05:00,2024-08-21 07:04:30,2024-08-21 07:05:00,2024-08-21 07:07:25,162693,29.28766876687669,175.22556255625562,1470.712331,0,QC003,WS015.01,973378,810685,175.22556255625562,145.93789378937893
CO_TFTU000027,SC009,2024-08-21 07:05:00,2024-08-21 07:04:00,2024-08-21 07:05:19,2024-08-21 07:06:37,436787,78.62952295229523,157.25904590459047,0.0,0,QC006,WS007.01,873574,436787,157.25904590459047,78.62952295229523
CO_TFTU000024,SC014,2024-08-21 07:05:00,2024-08-21 07:03:59,2024-08-21 07:05:00,2024-08-21 07:06:00,336343,60.54779477947795,121.0955895589559,105.521512,0,QC005,WS007.01,672686,336343,121.0955895589559,60.54779477947795
CO_TFTU000026,SC015,2024-08-21 07:05:00,2024-08-21 07:03:41,2024-08-21 07:05:00,2024-08-21 07:05:11,436787,78.62952295229523,89.91899189918992,87.439783,0,QC006,YARD001.54,499500,62713,89.91899189918992,11.28946894689469
CO_TFTU000033,SC010,2024-08-21 07:06:00,2024-08-21 07:04:52,2024-08-21 07:06:22,2024-08-21 07:08:01,496833,89.43888388838884,189.01890189018903,0.0,0,RAIL001.81,WS003.01,1050000,553167,189.01890189018903,99.58001800180018
CO_TFTU000032,SC015,2024-08-21 07:06:00,2024-08-21 07:05:30,2024-08-21 07:06:00,2024-08-21 07:06:38,163157,29.371197119711972,67.56975697569757,19.339333,0,QC005,YARD001.25,375350,212193,67.56975697569757,38.1985598559856
CO_TFTU000030,SC006,2024-08-21 07:06:00,2024-08-21 07:05:07,2024-08-21 07:06:14,2024-08-21 07:08:13,372657,67.08496849684968,186.02016201620162,0.0,0,QC003,WS012.01,1033342,660685,186.02016201620162,118.93519351935194
CO_TFTU000031,SC005,2024-08-21 07:06:00,2024-08-21 07:05:58,2024-08-21 07:07:39,2024-08-21 07:09:20,561202,101.02646264626463,202.05292529252927,0.0,0,QC004,WS012.01,1122404,561202,202.05292529252927,101.02646264626463
CO_TFTU000037,SC015,2024-08-21 07:07:00,2024-08-21 07:06:38,2024-08-21 07:07:34,2024-08-21 07:09:20,312637,56.28028802880288,161.91251125112512,0.0,0,QC006,WS010.01,899424,586787,161.91251125112512,105.63222322232224
